interaction_id,turn_number,text,next_text
20260207/0000d6f9-16:52:19-ba1119f3,17,What job roles are you looking for? You can tell any job you are looking for.,Electrical engineer.
20260207/00164327-16:13:04-9ec800e0,11,What kind of job are you looking for?,I am looking for a hotel.
20260207/0039beab-15:58:14-0dbd7863,17,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Data entry operator.
20260207/003a04d7-15:46:55-206f8cfe,17,What job roles are you looking for? You can tell any job you are looking for.,Qualification purpose.
20260207/0052a8cf-15:50:01-6552827c,23,"I understand you're looking for jobs in Dharwad Hubli. We'll get to the location details shortly. For now, could you please tell me what specific job roles you are looking for? For example, are you interested in being a data entry operator, a salesperson, an electrician, or a machine operator?",I am interested in being an electrician.
20260207/00539cc2-16:16:49-04cdd3ee,15,"I understand you're looking for a government job. What specific job roles are you looking for? You can tell any job you are looking for, like data entry operator, salesperson, electrician, or machine operator.","Yes yes madam, I am the owner madam."
20260207/0072fe26-16:38:52-fb8216a7,17,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",You are looking for a machine operator.
20260207/009d9634-15:49:33-cf94cc91,13,Okay. What kind of job are you looking for?,"No, not even two or three applications have come."
20260207/00a189fc-16:45:50-c6e0da33,13,What was the last title of your last job role?,Research and Development Engineer.
20260207/00a189fc-16:45:50-c6e0da33,17,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Software development or software engineer or research and development engineer or design engineer.
20260207/00a97988-18:22:44-d1b94fa0,13,What job roles are you looking for? You can tell any job you are looking for.,This is Odisha.
20260207/00ab9219-16:17:18-62d26d96,15,What was the last title of your last job role?,"My last job, there is nothing at home."
20260207/00ab9219-16:17:18-62d26d96,27,"Okay, great. What was the last title of your last job role?","My last job title is that I have to work in some company, ma'am."
20260207/00b32005-15:59:09-44c04bf5,19,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Any one will work. Any one will work.
20260207/00b32005-15:59:09-44c04bf5,25,"Please tell me what to change regarding the job type, job role, or other needs.","Yes, I will tell you, tell me."
20260207/00b32005-15:59:09-44c04bf5,27,"Please tell me what changes you would like to make to the job type, job role, or other needs.","No no no, I won't tell."
20260207/00c0a281-18:02:05-36e8a2eb,13,What job roles are you looking for? You can tell any job you are looking for.,It is a company job.
20260207/00c95993-15:41:00-98312c2a,11,What was the last title of your last job role?,What?
20260207/00c95993-15:41:00-98312c2a,13,What was the last title of your last job role?,"I am working in a bank, I am working in a bank."
20260207/00cf6443-17:00:49-3f0d8eff,15,What job roles are you looking for? You can tell any job you are looking for.,Accountant.
20260207/00e5bb07-16:09:50-a6f2283b,23,What job roles are you looking for? You can tell any job you are looking for.,Bank
20260207/00eb937f-15:57:49-cbbbbeae,15,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",I am a machine operator.
20260207/0122edec-15:37:16-82949aff,19,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Data entry.
20260207/0123f62d-18:07:39-dc961dfc,17,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Electrician.
20260207/01307cdc-15:48:40-60b55f5a,15,What job roles are you looking for? You can tell any job you are looking for,I will do it.
20260207/01307cdc-15:48:40-60b55f5a,17,What job roles are you looking for? You can tell any job you are looking for,I am speaking.
20260207/01307cdc-15:48:40-60b55f5a,19,What job roles are you looking for? You can tell any job you are looking for,"I will do it, madam. I am completely free. No, I am not interested in any work."
20260207/014a70e2-17:13:49-6a9f6869,21,"What specific job roles are you looking for? You can tell me any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Data entry operator.
