turn_number,speaker,text,stage
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Nitesh Narayan Davadate?",Greeting
2,User,"Yes, yes ma'am.",NA
3,Assistant,What did you just say?,Clarification
4,User,"Yes ma'am, I am Nitesh, I am Nitesh speaking.",NA
5,Assistant,What did you just say?,Clarification
6,User,What?,NA
7,Assistant,What did you just say?,Clarification
8,User,"No, my name is Nitesh.",NA
9,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
10,User,"Yes, I will find a job.",NA
11,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
12,User,Eighteen?,NA
13,Assistant,Have you ever done a job before?,Experience
14,User,"Yes, I have done it.",NA
15,Assistant,How many years of work experience do you have?,Experience
16,User,"I have done private work, sir.",NA
17,Assistant,I understand you've done private work. Could you please tell me how many years of work experience you have?,Experience
18,User,"Ah, I mean, private means I have worked in a company.",NA
19,Assistant,"Okay, thank you for clarifying. How many years of work experience do you have?",Experience
20,User,"One, two years.",NA
21,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
22,User,Full time.,Job Type
23,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
24,User,Bank,NA
25,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
26,User,Okay.,NA
27,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
28,User,No ma'am.,NA
29,Assistant,Are you looking for a job in Khanapur Belagavi?,Intent
30,User,"Yes, in Khanapur Belagavi.",NA
31,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Yallaling Padmanna Alagodi?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,"Okay, what is your current age?",Profile
8,User,Twenty-three.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
12,User,One more time.,NA
13,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
14,User,Yes.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,Full time.,Job Type
17,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
18,User,Banking.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,No.,NA
21,Assistant,Let me confirm your details. You are looking for a full-time Banking job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
22,User,Yes.,NA
23,Assistant,Are you looking for a job in Raybag Belagavi?,Intent
24,User,Yes.,NA
25,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
26,User,Okay.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Bhimappa Ramanna Talawar?",Greeting
2,User,"Yes, tell me madam.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes madam, okay.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Yes madam, it is correct.",Confirmation
7,Assistant,Have you ever done a job before?,Experience
8,User,No madam. I am a student madam.,NA
9,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
10,User,"Yes madam, yes.",NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
12,User,Government job.,NA
13,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
14,User,Government job madam.,NA
15,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
16,User,"Yes madam, yes yes.",NA
17,Assistant,Let me confirm your details. You are looking for a Government job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
18,User,Yes madam.,NA
19,Assistant,Are you looking for a job in Ramdurg Belagavi?,Intent
20,User,"Yes madam, yes.",NA
21,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
22,User,Okay madam.,NA
23,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
24,User,No madam.,NA
25,Assistant,"Okay, no problem. Call us if you want WhatsApp messages later. Otherwise, you will not receive hiring alerts from jobs near you.",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Laxmi Laxman Bhajantri?",Greeting
2,User,Yes ma'am.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes ma'am, today.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"It has changed, ma'am.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,No ma'am.,NA
9,Assistant,Is BACHELOR OF COMMERCEyour highest level of education?,Education
10,User,Yes ma'am.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,Banking,NA
13,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
14,User,Banking.,NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,Accommodation ma'am.,Additional Needs
17,Assistant,Let me confirm your details. You are looking for a Banking Banking job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
18,User,Yes ma'am.,NA
19,Assistant,Are you looking for a job in Ramdurg Belagavi?,Intent
20,User,Yes ma'am.,NA
21,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
22,User,Okay ma'am.,NA
23,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
24,User,Yes ma'am.,NA
25,Assistant,Is this your WhatsApp Number?,WhatsApp Number
26,User,Yes ma'am.,NA
27,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Mahesh Basappa Hosur?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,No.,NA
7,Assistant,We cannot continue because you are under 18 years old. Thank you.,Profile
8,User,Yes.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF SCIENCEyour highest level of education?,Education
12,User,"My degree is complete, sir.",NA
13,Assistant,Okay. What is your highest level of education?,Education
14,User,BSc.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,Government job.,NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,Government job.,NA
19,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
20,User,No.,NA
21,Assistant,Let me confirm your details. You are looking for a Government job Government job job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
22,User,"Yes, yes.",NA
23,Assistant,Are you looking for a job in Kagwad Belagavi?,Intent
24,User,Yes.,NA
25,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
26,User,Okay.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,Okay.,NA
29,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
30,User,"Thank you, thank you, thank you, thank you.",NA
31,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
32,User,"No, send, send, no problem.",NA
33,Assistant,Is this your WhatsApp Number?,WhatsApp Number
34,User,Yes.,NA
35,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with YALLAPPA RUDRAPPA CHANNANNAVAR?",Greeting
2,User,What is the name?,NA
3,Assistant,"Hello, am I speaking with YALLAPPA RUDRAPPA CHANNANNAVAR?",Greeting
4,User,Yes okay okay okay.,NA
5,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
6,User,Yes.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,"No, it's correct.",Confirmation
9,Assistant,Have you ever done a job before?,Experience
10,User,"No, not that. That is a story that cannot be told.",NA
11,Assistant,Is Electrician (NSQF)your highest level of education?,Education
12,User,"Yes yes yes yes yes, electrician, electrician.",NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,"Yes, I will search for the railway department.",NA
15,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
16,User,Railway railway,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,"Okay madam, if you had called again when our boy came, would it have been possible for you?",NA
19,Assistant,Let me confirm your details. You are looking for a full-time job Railway job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,"Yes, it is correct.",Confirmation
21,Assistant,Are you looking for a job in Vaishali Belagavi?,Intent
22,User,Yes,NA
23,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
24,User,"Madam, are you not understanding what I am saying?",NA
25,Assistant,I apologize if there was a misunderstanding. I'm trying my best to understand you. Could you please repeat if it's okay if we send you messages on WhatsApp?,WhatsApp Opt-in
26,User,"Hey, leave that. Do you understand what I am saying?",NA
